"","hgnc_symbol"
"1","GNL3"
"2","ERICH6"
"3","SRGAP3-AS4"
"4","CEP70"
"5","ALDH1L1"
"6","SLC35G2"
"7","MTHFD2P1"
"8","FANCD2"
"9","PNPT1P1"
"10","GTPBP8"
"11","CLDN18"
"12","EIF2B5-AS1"
"13","PROS1"
"14","LINC00488"
"15","ITIH1"
"16","THRAP3P1"
"17","CSRNP1"
"18","SLC22A13"
"19","IL17RE"
"20","PARP9"
"21","CCR9"
"22","SPSB4"
"23","EAF2"
"24","RUVBL1-AS1"
"25","ZBBX"
"26","NCBP2-AS1"
"27","GRM2"
"28","KRBOX1"
"29","PRR23A"
"30","PRR23C"
"31","SRGAP3-AS1"
"32","SCHIP1"
"33","RPS15AP16"
"34","BZW1P2"
"35","OR5K3"
"36","OR5H4P"
"37","OR5H1"
"38","CABYRP1"
"39","UTS2B"
"40","ZNF852"
"41","EMC3"
"42","ITIH3"
"43","LRRN1"
"44","STAB1"
"45","WDR6"
"46","RPS12P5"
"47","DUSP5P2"
"48","MTND5P16"
"49","KLHL6-AS1"
"50","SRGAP3"
"51","RASSF1"
"52","LNP1"
"53","SDHAP2"
"54","LINC00692"
"55","ADIPOQ"
"56","POLR2H"
"57","ATR"
"58","SLC12A8"
"59","PXYLP1"
"60","MANF"
"61","ZNF587P1"
"62","GHSR"
"63","PABPC1P10"
"64","GADL1"
"65","FAM198A"
"66","ACVR2B-AS1"
"67","CCR4"
"68","RPL21P40"
"69","RSRC1"
"70","GAPDHP39"
"71","FAM162A"
"72","RETNLB"
"73","MBNL1"
"74","NPM1P28"
"75","TUBBP11"
"76","MFI2"
"77","RBMS3-AS2"
"78","TOPBP1"
"79","ZNF652P1"
"80","MRE11B"
"81","ST13P14"
"82","KCNAB1-AS1"
"83","VN2R1P"
"84","ARGFX"
"85","CEP63"
"86","SMARCC1"
"87","ATG7"
"88","HTR3C"
"89","LINC01487"
"90","RPL32P9"
"91","SCAANT1"
"92","OSBPL10-AS1"
"93","SENP2"
"94","SEPT14P3"
"95","ASB14"
"96","RFKP2"
"97","OSBPL11"
"98","RPSAP32"
"99","MECOM"
