"","hgnc_symbol"
"1","TIMP1"
"2","CD99L2"
"3","MAGEB1"
"4","AMD1P2"
"5","F9"
"6","FGF13-AS1"
"7","MORF4L1P6"
"8","MTCO1P19"
"9","VCX3B"
"10","APLN"
"11","CSAG1"
"12","GAB3"
"13","VCX3A"
"14","SPANXN4"
"15","MTCP1"
"16","GAGE12C"
"17","MAGEB17"
"18","AP1S2"
"19","DYNLT3"
"20","ENOX2"
"21","GPR34"
"22","PTP4A1P5"
"23","PRDX4"
"24","HNRNPA3P3"
"25","UTP14A"
"26","EMD"
"27","SLC9A6"
"28","TCEAL7"
"29","FIGF"
"30","CXorf38"
"31","TCEAL3"
"32","MPC1L"
"33","XAGE3"
"34","CLDN34"
"35","EGFL6"
"36","RPL30P15"
"37","PNMA3"
"38","MTHFD1P1"
"39","SRPX"
"40","CDX4"
"41","TPT1P14"
"42","L1CAM"
"43","ZIC3"
"44","MORF4L2-AS1"
"45","CD99"
"46","ATXN3L"
"47","PDZD11"
"48","MAGEA3"
"49","TCEAL3-AS1"
"50","RPL7P54"
"51","TIMM8A"
"52","IPO7P1"
"53","OR7L1P"
"54","SMPX"
"55","ASB9"
"56","MAGEA7P"
"57","PPP1R11P2"
"58","SHROOM2"
"59","FAM9A"
"60","BCOR"
"61","RPL18AP15"
"62","RPL7P53"
"63","TFDP3"
"64","NAP1L3"
"65","NLRP2P"
"66","GK-IT1"
"67","RPL36A"
"68","GRPR"
"69","CTHRC1P1"
"70","MAGEA12"
"71","CSAG4"
"72","ANOS1"
"73","TPMTP3"
"74","DPH3P2"
"75","MBTPS2"
"76","YY2"
"77","HNRNPH1P2"
"78","SYP-AS1"
"79","CSAG2"
"80","MTCYBP31"
"81","IDS"
"82","PNMA6B"
"83","GK"
"84","ARMCX3"
"85","ZXDB"
"86","FAM47A"
"87","MAGEB16"
"88","PHF6"
"89","P2RY10"
"90","TMSB15A"
"91","MTCO3P19"
"92","F8A3"
"93","SPIN2A"
"94","CYCSP43"
"95","SPANXN3"
"96","LONRF3"
"97","MTND5P26"
"98","SSX2B"
"99","PUDP"
"100","MAGEA1"
"101","SYN1"
"102","RPS6KA6"
"103","GK-AS1"
"104","HNRNPH2"
"105","RPS2P55"
"106","PHEX"
"107","OGT"
"108","ARHGAP36"
"109","ATP11C"
"110","CLCN5"
"111","CXorf67"
"112","ZDHHC9"
"113","CFP"
"114","RBM22P6"
"115","GDI1"
"116","GLRA4"
"117","RNF128"
"118","SSX9"
"119","DPRXP6"
"120","LINC01545"
"121","SSX1"
"122","RPSAP15"
"123","KIAA2022"
"124","H3F3AP5"
"125","RPSAP60"
"126","TMLHE"
"127","SLITRK4"
"128","CKS1BP6"
"129","RPA4"
"130","XAGE2"
"131","RAB33A"
"132","TCEAL1"
"133","TOMM20P4"
"134","FRMPD3-AS1"
"135","MXRA5"
"136","B3GNT2P1"
"137","SSR4"
"138","HTATSF1"
"139","REPS2"
"140","EIF5P2"
"141","ZCCHC13"
"142","XIAP-AS1"
"143","LAS1L"
"144","MMGT1"
"145","KRT18P49"
"146","SSX5"
"147","MTCO2P19"
"148","RPL23AP83"
"149","GLA"
"150","TMEM31"
"151","TSPYL2"
"152","MAGEB4"
"153","UBQLN2"
"154","ZMYM3"
"155","PJA1"
"156","FAAH2"
"157","HMGN1P33"
"158","ST13P18"
"159","PNCK"
"160","MKRN4P"
"161","BCORL1"
"162","GRIA3"
"163","MEMO1P4"
"164","RP2"
"165","PAGE3"
"166","EIF4BP7"
"167","SRD5A1P1"
"168","TLR8"
"169","KIF4A"
"170","F8A2"
"171","APEX2"
"172","DKC1"
"173","CASK"
"174","PRKRIRP1"
"175","RPL7P55"
"176","SALL4P2"
"177","MORF4L2"
"178","GPR174"
"179","DLG3-AS1"
"180","TFE3"
"181","MAP7D3"
"182","FAM156B"
"183","LPAR4"
"184","RPL12P49"
"185","SETP15"
"186","OPN1MW"
"187","PPATP2"
"188","NXF2"
"189","MAGEA8"
"190","ATG4AP1"
"191","RBBP8P1"
"192","UHRF2P1"
"193","ARMCX3-AS1"
"194","FTH1P14"
"195","VCX"
"196","NXF4"
"197","RPL7P56"
"198","ACE2"
"199","INE1"
"200","PNMA6A"
"201","FATE1"
"202","XIAP"
"203","CLIC2"
"204","CLIC4P3"
"205","SDCBPP3"
"206","HDX"
"207","RHOXF1P1"
"208","ARAF"
"209","MAGEB2"
"210","ZFP92"
"211","MAGEA9"
"212","MAP2K4P1"
"213","BCAP31"
"214","OR11Q1P"
"215","TAF1"
"216","PGBD4P6"
"217","HMGN1P35"
"218","VBP1"
"219","TCEB1P24"
"220","GAGE12D"
"221","ACTG1P10"
"222","KANTR"
"223","EFNB1"
"224","CTPS2"
"225","DLG3"
"226","IGBP1-AS2"
"227","GPR143"
"228","WASF4P"
"229","SMS"
"230","RAB39B"
"231","FTSJ1"
"232","H2AFB3"
"233","AWAT2"
"234","MTMR1"
"235","ZNF185"
"236","ZRSR2"
"237","DOCK11"
"238","SEPT6"
"239","USMG5P1"
"240","MKRN5P"
"241","ZC4H2"
"242","VMA21"
"243","DRP2"
"244","CASK-AS1"
"245","CT45A9"
"246","CT45A8"
"247","NXF2B"
"248","XIST"
"249","FOXP3"
"250","GPRASP1"
"251","FRMPD4"
"252","YWHAZP8"
"253","MTND2P39"
"254","RPS7P12"
"255","CXXC1P1"
"256","RPL22P22"
"257","ZIK1P1"
"258","AKIRIN1P2"
"259","SNURFL"
"260","ITGB1BP2"
"261","FAM9C"
"262","XG"
"263","ARSF"
"264","MTND1P32"
"265","BEND2"
"266","GABRQ"
"267","MTND1P33"
"268","XAGE5"
"269","ARL13A"
"270","DUSP9"
"271","FTX"
"272","RPSAP14"
"273","FAM122B"
"274","KRT18P48"
"275","SLC10A3"
"276","ZNF711"
"277","ASS1P4"
"278","DDX3P2"
"279","RANP4"
"280","PQBP1"
"281","DUTP4"
"282","MTND4P32"
"283","CMC4"
"284","CT55"
"285","PRPS1"
"286","GABRA3"
"287","ACOT9"
"288","MED28P4"
"289","KRT18P68"
"290","PCNAP3"
"291","BUD31P2"
"292","COL4A5"
"293","ASB11"
"294","MAGEB18"
"295","CT47A12"
"296","RAC1P4"
"297","GPR101"
"298","H2AFB2"
"299","MORC4"
"300","PDHA1"
"301","NAA10"
"302","RPS4X"
"303","PNKDP1"
"304","FAM195CP"
"305","FIRRE"
"306","LINC00629"
"307","RPL12P43"
"308","CYSLTR1"
"309","RPL7L1P11"
"310","FAM127B"
"311","SSX4"
"312","DCAF8L2"
"313","RBM3"
"314","PLS3"
"315","FAM155B"
"316","CNGA2"
"317","HMGN1P34"
"318","CT47A3"
"319","PIN4"
"320","RPL19P21"
"321","SPACA5B"
"322","KLHL15"
"323","MAGEA11"
"324","RPL12P50"
"325","ARMCX5"
"326","ARHGEF9"
"327","RRAGB"
"328","RPL36A-HNRNPH2"
"329","UPRT"
"330","CT47A10"
"331","ARSD"
"332","SUPT20HL1"
"333","CT45A11P"
"334","NYX"
"335","EIF1AX-AS1"
"336","KRT8P17"
"337","P2RY10P2"
"338","OTUD6A"
"339","FOXN3P1"
"340","LINC00630"
"341","ELF4"
"342","DGAT2L6"
"343","NRK"
"344","NLGN3"
"345","STS"
"346","MAGEC3"
"347","HPRT1"
"348","COL4A6"
"349","NR0B1"
"350","CT47A9"
"351","EDA"
"352","EDA2R"
"353","TMEM47"
"354","KRT8P8"
"355","SSX2"
"356","CXorf66"
"357","LRCH2"
"358","MAGEB3"
"359","MRRFP1"
"360","PNMA5"
"361","OPN1MW2"
"362","FGF13"
"363","KLF8"
"364","MAGEA9B"
"365","ZCCHC12"
"366","CT47A11"
"367","SETP8"
"368","HSPA8P20"
"369","ALAS2"
"370","SH3KBP1"
"371","NHSL2"
"372","EIF4BP9"
"373","EIF5P1"
"374","TCP11X2"
"375","EIF4A2P4"
"376","PLXNB3"
"377","FABP5P13"
"378","PLS3-AS1"
"379","LINC01201"
"380","NGFRAP1"
"381","DDX3P1"
"382","TMSB4X"
"383","PLCE1P1"
"384","MOSPD2"
"385","RPL21P132"
"386","MOSPD1"
"387","SUPT20HL2"
"388","CT47A8"
"389","IGBP1-AS1"
"390","RPS5P7"
"391","PGRMC1"
"392","IL3RA"
"393","PRICKLE3"
"394","PAK3"
"395","HSFX1"
"396","RAB40A"
"397","PAGE1"
"398","NXF5"
"399","LINC00269"
"400","SMIM9"
"401","MECP2"
"402","MTRNR2L10"
"403","PHF8"
"404","TEX28P2"
"405","ATP7A"
"406","KIAA1210"
"407","GPR50-AS1"
"408","SPRY3"
"409","P2RY8"
"410","SALL1P1"
"411","VDAC1P2"
"412","SAGE1"
"413","OFD1"
"414","KLHL13"
"415","SSX7"
"416","DCAF8L1"
"417","SPIN2B"
"418","SPANXA2"
"419","NPM1P49"
"420","TAF7L"
"421","SLITRK2"
"422","EEF1A1P31"
"423","RPL9P7"
"424","SLC25A5"
"425","PABPC5-AS1"
"426","PABPC5"
"427","TAB3-AS1"
"428","TAB3-AS2"
"429","APOO"
"430","CA5BP1"
"431","NAP1L6"
"432","MID1IP1-AS1"
"433","EIF1AX"
"434","ARMCX5-GPRASP2"
"435","SPANXD"
"436","TUBB4BP3"
"437","CLDN2"
"438","CT45A2"
"439","NAP1L2"
"440","IRS4"
"441","LINC00891"
"442","HSPA8P1"
"443","FNDC3CP"
"444","NONO"
"445","TPT1P13"
"446","CXorf49"
"447","BTF3P8"
"448","MID1IP1"
"449","ZCCHC18"
"450","DNAJA1P3"
"451","CXorf49B"
"452","SSX8"
"453","LINC00890"
"454","ARSD-AS1"
"455","IQSEC2"
"456","RPL21P133"
"457","FLNA"
"458","BMP2KL"
"459","SLC25A43"
"460","TMEM35"
"461","SSXP5"
"462","MTND2P2"
"463","AFF2"
"464","ZBTB33"
"465","CNOT7P1"
"466","HMGB1P12"
"467","MAGT1"
"468","NXT2"
"469","C1GALT1C1"
"470","MRPS17P9"
"471","SERBP1P4"
"472","BRCC3"
"473","CITED1"
"474","SOWAHD"
"475","IGBP1"
"476","BEND7P1"
"477","RGN"
"478","HSD17B10"
"479","FRMPD4-AS1"
