,hgnc_symbol
1,RNASEH2CP1
2,TCEB1P4
3,OFD1P7Y
4,USP9YP9
5,CYCSP48
6,OFD1P13Y
7,GAPDHP19
8,RBMY2DP
9,TRAPPC2P10
10,USP9YP1
11,OFD1P10Y
12,XKRY2
13,XKRY
14,USP9YP24
15,TSPY25P
16,OFD1P5Y
17,OFD1P4Y
18,DDX3Y
19,MTCYBP2
20,MED14P1
21,CASKP1
22,TCEB1P8
23,USP9YP18
24,PRY
25,PRYP2
26,ARSEP1
27,MXRA5Y
28,TRIM60P5Y
29,TTTY17B
30,UTY
31,TTTY3
32,SNX18P1Y
33,RBMY2BP
34,SRY
35,PRYP3
36,GPM6BP1
37,TCEB1P16
38,CDY13P
39,ZNF839P1
40,MAFIP
41,HSFY8P
42,PRYP1
43,PUDPP1
44,RBMY1A3P
45,TTTY3B
46,HSFY1
47,HSFY6P
48,USP9YP22
49,TSPY8
50,ZNF736P12Y
51,RBMY2WP
52,RPS24P1
53,FAM224B
54,BCORP1
55,FAM8A4P
56,TSPY23P
57,SLC25A15P1
58,TTTY14
59,TTTY9B
60,RBMY3AP
61,FAM197Y1
62,FAM197Y7
63,ACTG1P11
64,GOLGA2P2Y
65,USP9YP15
66,ARSFP1
67,ACTG1P2
68,TTTY6
69,CLUHP1
70,TTTY4
71,DUX4L16
72,MED13P1
73,TOMM22P2
74,TRAPPC2P8
75,ARSDP1
76,TTTY23B
77,TUBB1P2
78,FAM41AY2
79,TTTY8
80,USP9YP16
81,OFD1P15Y
82,TCEB1P12
83,CD24P4
84,TSPY16P
85,GYG2P1
86,XKRYP1
87,VCY
88,ANKRD36P1
89,RPS4Y2
90,PPP1R12BP1
91,CDY14P
92,TAF9P1
93,USP9YP12
94,RBMY1F
95,CYCSP49
96,GPR143P
97,TCEB1P13
98,TTTY10
99,TCEB1P15
100,TPTE2P4
101,TRAPPC2P5
102,TTTY16
103,PARP4P1
104,USP9YP4
105,TSPY15P
106,ASS1P6
107,DLGAP5P1
108,FAM58CP
109,SERBP1P2
110,FAM197Y3
111,RBMY1HP
112,TSPY6P
113,FAM197Y2
114,TSPY10
115,USP9YP17
116,FAM197Y8
117,RAB9AP5
118,TTTY15
119,CYCSP46
120,TTTY11
121,CDY12P
122,RBMY2HP
123,RBMY2UP
124,OFD1P3Y
125,GOT2P5
126,REREP1Y
127,BPY2
128,USP9YP11
129,USP9YP5
130,ANOS2P
131,OFD1P9Y
132,XKRYP4
133,DAZ2
134,TAB3P1
135,DPPA2P1
136,USP12PY
137,RBMY2YP
138,RBMY2CP
139,FAM197Y4
140,LINC00279
141,RNF19BPY
142,TSPY9P
143,TBL1YP1
144,TRAPPC2P3
145,CICP2
146,TSPY1
147,TBL1Y
148,USP9YP30
149,RAB9AP2
150,PPP1R12BP2
151,USP9YP8
152,RBMY2XP
153,TTTY19
154,PRKY
155,CDY5P
156,USP9YP13
157,DAZ1
158,TCEB1P6
159,TSPY12P
160,HSFY5P
161,TGIF2LY
162,XKRYP6
163,OFD1P2Y
164,PRY2
165,TMSB4Y
166,AMELY
167,CDY1
168,RBMY2FP
169,TTTY17A
170,PRORY
171,RBMY1E
172,TSPY20P
173,AGKP1
174,NLGN4Y-AS1
175,FAM41AY1
176,LINC00265-2P
177,CDY23P
178,TCEB1P11
179,RBMY1A1
180,REREP2Y
181,GOLGA6L16P
182,RBMY1B
183,TTTY4C
184,CDY20P
185,C2orf27AP1
186,DUX4L31
187,ZNF736P7Y
188,PRYP4
189,ZNF885P
190,USP9YP32
191,LINC00266-2P
192,ZNF736P4Y
193,RBMY2JP
194,ZNF736P9Y
195,TSPY21P
196,ZNF736P11Y
197,PCMTD1P1
198,TSPY5P
199,UBE2Q2P4Y
200,TCEB1P34
201,GOLGA2P3Y
202,UBE2V1P3
203,KDM5D
204,RBMY1J
205,KRT18P10
206,TTTY25P
207,OFD1P1Y
208,TTTY18
209,CDC27P2
210,RCC2P1
211,ZNF886P
212,DAZ4
213,RCC2P2
214,CDY15P
215,ATP5JP1
216,SFPQP1
217,RBMY1D
218,TSPY14P
219,MTND1P12
220,USP9YP14
221,TTTY17C
222,USP9YP33
223,USP9YP36
224,TTTY2
225,RNU1-107P
226,RNA5SP519
227,RN7SL702P
228,RNU1-128P
229,RNA5-8SP6
230,RNU6-1334P
231,FAM197Y6
232,RNU2-57P
233,CDY1B
234,RNU6-255P
235,CDY6P
236,RNA5SP518
237,TSPY3
238,RNU6-184P
239,RNA5SP521
240,CDY17P
241,XKRYP3
242,RN7SL725P
243,RNU6-303P
244,RNU1-40P
245,RNA5SP523
246,RNA5SP520
247,RNU1-86P
248,RNU6-109P
249,RNU1-95P
250,RNU1-48P
251,USP9YP35
252,TMEM167AP1
253,TTTY12
254,RFTN1P1
255,RNU6-941P
256,ZNF92P1Y
257,RNU6-1314P
258,USP9YP31
259,CDY18P
260,USP9YP25
261,USP9YP29
262,USP9YP7
263,RNU1-41P
264,TTTY4B
265,BPY2B
266,USP9YP19
267,PNPLA4P1
268,RAB9AP1
269,TRIM60P10Y
270,TTTY22
271,TRAPPC2P9
272,RBMY2NP
273,XKRYP5
274,HSFY7P
275,RBMY2KP
276,RBMY2EP
277,CDY22P
278,TXLNGY
279,USP9Y
280,FAM197Y9
281,TSPY11P
282,TSPY19P
283,OFD1P11Y
284,TCEB1P9
285,CSPG4P3Y
286,TSPY24P
287,ZNF736P6Y
288,CDY9P
289,CSPG4P2Y
290,DNM1P24
291,MTND6P1
292,MTCYBP1
293,MTND1P1
294,MTND2P3
295,TRIM60P3Y
296,RBMY2GP
297,LINC00280
298,TAF9P2
299,ZNF736P10Y
300,PSMA6P1
301,TCEB1P17
302,NAP1L1P2
303,STSP1
304,HSFY3P
305,RPS4Y1
306,USP9YP26
307,TTTY2B
308,TTTY1B
309,TRIM60P8Y
310,ZNF736P3Y
311,TRIM60P9Y
312,TTTY21B
313,LINC00266-4P
314,LINC00265-3P
315,CICP1
316,TTTY8B
317,CLUHP2
318,XGY1
319,SHROOM2P1
320,USP9YP6
321,USP9YP2
322,BPY2C
323,PRYP6
324,OFD1P6Y
325,TTTY7B
326,HSFY2
327,CDY7P
328,TSPY17P
329,SURF6P1
330,TCEB1P35
331,SRIP3
332,RBMY2AP
333,FAM197Y5
334,GPM6BP2
335,XKRYP2
336,RPL26P37
337,DUX4L17
338,DUX4L18
339,DUX4L19
340,PABPC1P5
341,EEF1A1P41
342,ZNF736P1Y
343,USP9YP34
344,ZFY
345,TSPY18P
346,USP9YP10
347,CDY4P
348,TCEB1P14
349,SLC9B1P1
350,TSPY2
351,RAB9AP4
352,TTTY13
353,TCEB1P5
354,TRAPPC2P7
355,CDY11P
356,CDY8P
357,GAPDHP17
358,CDY2A
359,RBMY1KP
360,USP9YP28
361,TTTY5
362,USP9YP23
363,USP9YP27
364,OFD1P18Y
365,EIF1AY
366,ZNF736P2Y
367,TRIM60P11Y
368,CDY3P
369,CDY10P
370,TSPY13P
371,TTTY23
372,RBMY2OP
373,RBMY2QP
374,TSPY22P
375,FAM224A
376,OFD1P16Y
377,OFD1P8Y
378,CSPG4P1Y
379,DNM1P48
380,CSPG4P4Y
381,TUBB1P1
382,TTTY20
383,ZFY-AS1
384,TRAPPC2P4
385,TTTY6B
386,RAB9AP3
387,CDY19P
388,LINC00278
389,USP9YP20
390,RNA5SP522
391,DAZ3
392,RBMY2TP
393,AGPAT5P1
394,ZNF736P8Y
395,BPY2DP
396,USP9YP3
397,PRRC2CP1
398,TSPY4
399,USP9YP21
400,TOMM22P1
401,NEFLP1
402,VDAC1P6
403,SNX3P1Y
404,EIF4A1P2
405,ACTR3BP1
406,ZNF736P5Y
407,UBE2Q2P5Y
408,HSFY4P
409,NLGN4Y
410,PCDH11Y
411,TTTY1
412,TTTY21
413,TTTY7
414,GOLGA6L11P
415,CTBP2P1
416,CDY2B
417,RNU1-97P
418,RN7SL818P
419,TSPY7P
420,RNU6-521P
421,TCEB1P26
422,PRYP5
423,TCEB1P7
424,VCY1B
425,RN7SKP282
426,OFD1P12Y
427,TCEB1P10
